"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"74",2010,"635588","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",6.03,81,2011-06-28,2011-06-30,94848,0,94848,"WASHOUGAL R  28.0159","2011"
"75",2006,"094526","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.91,NA,2007-05-01,2007-05-01,222476,1190,223666,"BIG CR (LWR COL R)","2007"
"76",2000,"093258","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",16.76,NA,2001-07-04,2001-07-04,25070,193,25263,"YOUNGS R & BAY","2001"
"77",2004,"094154","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",NA,NA,2005-04-23,2005-05-06,10897,0,10897,"COLUMBIA R-2","2005"
"78",2012,"090367","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.85,NA,2013-04-29,2013-04-29,53037,0,53037,"KLASKANINE R N FK","2013"
"79",2018,"090569","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.88,NA,2019-05-20,2019-05-21,456811,0,456811,"BIG CR (LWR COL R)","2019"
"80",2017,"091008","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.69,NA,2018-05-14,2018-05-17,53180,0,53180,"KLASKANINE R N FK","2018"
"81",2001,"630881","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",6.57,85,2002-06-10,2002-06-25,91638,805,92443,"ELOCHOMAN R  25.0236","2002"
"82",2001,"093452","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.99,NA,2002-05-06,2002-05-20,217191,0,217191,"BIG CR (LWR COL R)","2002"
"83",2002,"631556","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.53,73,2003-06-18,2003-06-18,89952,634,90586,"FALLERT CR   27.0017","2003"
"84",2012,"636476","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.21,79,2013-06-25,2013-07-04,92168,1319,93487,"GREEN R      26.0323","2013"
"85",2016,"091157","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",17.01,NA,2017-09-05,2017-09-05,25887,0,25887,"TANNER CR (BNVILLE)","2017"
"86",2004,"070546","KLASKANINE HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",14.36,NA,2005-08-05,2005-08-05,28860,152,29012,"KLASKANINE R N FK","2005"
"87",2007,"634372","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.66,78,2008-06-25,2008-07-07,80785,0,80785,"KALAMA R     27.0002","2008"
"88",2007,"094646","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.9,NA,2008-05-14,2008-05-19,227193,1213,228406,"BIG CR (LWR COL R)","2008"
"89",2013,"055430","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",5.95,NA,2014-05-16,2014-05-16,105582,0,105582,"TANNER CR (BNVILLE)","2014"
"90",2009,"635195","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.21,79,2010-07-02,2010-07-11,85792,572,86364,"GREEN R      26.0323","2010"
"91",2013,"090715","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.74,NA,2014-04-26,2014-04-26,53629,0,53629,"KLASKANINE R N FK","2014"
"92",2003,"093954","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",28.78,NA,2004-07-15,2004-07-15,24741,300,25041,"YOUNGS R & BAY","2004"
