"","brood_year","TagCode","hatchery","species_name","run_name","stock","psc_region","avg_weight","avg_length","first_release_date","LastRelDate","Ad_CWT","Unclipped_CWT","total_cwt_rel","release_site","release_year"
"280",2013,"071244","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",23.26,NA,2014-06-23,2014-06-23,26487,716,27203,"YOUNGS R & BAY","2014"
"281",2003,"093959","BIG CR HATCHERY","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",13.42,NA,2004-07-23,2004-07-26,27075,0,27075,"KLASKANINE R N FK","2004"
"282",2014,"094155","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",22.34,NA,2015-06-05,2015-06-05,26192,428,26620,"YOUNGS R & BAY","2015"
"283",2015,"090824","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",6.01,NA,2016-05-11,2016-05-11,224466,0,224466,"BIG CR (LWR COL R)","2016"
"284",2012,"090568","BONNEVILLE HATCHERY","Chinook","Fall","COLUMBIA R TULES","LOCR",5.29,NA,2013-05-17,2013-05-17,168873,0,168873,"TANNER CR (BNVILLE)","2013"
"285",2003,"093522","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",1.34,NA,2004-05-06,2004-05-21,7866,0,7866,"COLUMBIA R-2","2004"
"286",2012,"090702","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.61,NA,2013-05-15,2013-05-15,206754,2416,209170,"BIG CR (LWR COL R)","2013"
"287",2004,"094021","BIG CR HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",6.16,NA,2005-05-05,2005-05-05,223507,0,223507,"BIG CR (LWR COL R)","2005"
"288",2007,"090126","CEDC NET PENS","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",24.26,NA,2008-07-01,2008-07-01,22628,492,23120,"YOUNGS R & BAY","2008"
"289",2015,"091007","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",19.89,NA,2016-06-28,2016-06-28,27324,402,27726,"KLASKANINE R S FK","2016"
"290",2015,"091037","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",22.13,NA,2016-09-29,2016-09-29,42916,0,42916,"TANNER CR (BNVILLE)","2016"
"291",2004,"094152","NATURAL PRODUCTION TAGGIN","Chinook","Fall","BONNEVILLE LADDER","LOCR",1.16,NA,2005-05-05,2005-05-27,9940,0,9940,"COLUMBIA R-2","2005"
"292",2009,"092047","KLASKANINE HATCHERY","Chinook","Fall","BIG CR HATCHERY","LOCR",5.74,NA,2010-05-03,2010-05-04,52298,0,52298,"KLASKANINE R N FK","2010"
"293",2013,"090821","KLASKANINE S FK POND","Chinook","Fall","COLE RIVERS HATCHERY","LOCR",14.13,NA,2014-07-17,2014-07-17,28762,54,28816,"KLASKANINE R S FK","2014"
"294",2014,"090922","BONNEVILLE HATCHERY","Chinook","Fall","TANNER CR (BNVILLE)","LOCR",5.87,NA,2015-04-20,2015-04-20,149227,1507,150734,"TANNER CR (BNVILLE)","2015"
"295",2002,"631877",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",1.81,NA,2003-06-02,2003-07-01,47471,0,47471,"LEWIS R -NF  27.0168","2003"
"296",2009,"634976",NA,"Chinook","Fall","COWLITZ R    26.0002","LOCR",4.53,NA,2010-04-21,2010-05-17,44440,0,44440,"COWLITZ R -LOWER","2010"
"297",2008,"634773","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",5.81,77,2009-07-01,2009-07-08,81825,526,82351,"GREEN R      26.0323","2009"
"298",2008,"634775","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",6.11,81,2009-07-08,2009-07-08,90574,506,91080,"KALAMA R     27.0002","2009"
"299",2018,"637381","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ SAL HATCHERY","LOCR",5.98,81,2019-06-03,2019-06-21,520339,2615,522954,"COWLITZ R    26.0002","2019"
"300",2019,"637618","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R HATCH  27.0002","LOCR",6.12,81,2020-06-22,2020-06-22,100704,354,101058,"KALAMA R     27.0002","2020"
"301",2005,"632986",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",2.3,NA,2006-06-02,2006-07-10,47360,0,47360,"LEWIS R -NF  27.0168","2006"
"302",2004,"632991",NA,"Chinook","Fall","LEWIS R -NF  27.0168","LOCR",6.04,NA,2005-06-03,2005-07-05,29225,0,29225,"LEWIS R      27.0168","2005"
"303",2000,"630879","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",7.31,83,2001-06-20,2001-07-30,73646,0,73646,"GREEN R      26.0323","2001"
"304",2000,"630196","ELOCHOMAN HATCHERY","Chinook","Fall","ELOCHOMAN R  25.0236","LOCR",6.87,80,2001-06-05,2001-06-15,92714,0,92714,"ELOCHOMAN R  25.0236","2001"
"305",2002,"631543","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",9.07,91,2003-06-04,2003-07-08,46106,0,46106,"WASHOUGAL R  28.0159","2003"
"306",2002,"631782","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",8.89,90,2003-06-02,2003-06-25,200134,0,200134,"COWLITZ R    26.0002","2003"
"307",2005,"632885","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.46,783,2006-06-29,2006-07-26,91443,312,91755,"FALLERT CR   27.0017","2006"
"308",2005,"632886","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",7.82,87,2006-07-11,2006-07-11,91240,0,91240,"KALAMA R     27.0002","2006"
"309",2005,"633476","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.21,81,2006-07-01,2006-07-12,86339,1171,87510,"GREEN R      26.0323","2006"
"310",2006,"633977","KALAMA FALLS HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.92,80,2007-06-28,2007-06-28,92009,466,92475,"KALAMA R     27.0002","2007"
"311",2008,"634279","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",7.74,85,2009-06-04,2009-06-25,199872,1455,201327,"COWLITZ R    26.0002","2009"
"312",2013,"636655","COWLITZ SALMON HATCHERY","Chinook","Fall","COWLITZ R    26.0002","LOCR",5.67,79,2014-06-13,2014-06-15,220739,1110,221849,"COWLITZ R    26.0002","2014"
"313",2014,"636802","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",6.06,79,2015-06-02,2015-06-19,95394,905,96299,"GREEN R      26.0323","2015"
"314",2015,"636915","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",5.66,75,2016-06-03,2016-06-10,97267,420,97687,"GREEN R      26.0323","2016"
"315",2016,"637095","WASHOUGAL HATCHERY","Chinook","Fall","WASHOUGAL R  28.0159","LOCR",5.59,78,2017-06-27,2017-06-27,50714,122,50836,"WASHOUGAL R  28.0159","2017"
"316",2016,"637098","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R     27.0002","LOCR",5.53,5,2017-06-22,2017-06-22,48924,0,48924,"FALLERT CR   27.0017","2017"
"317",2017,"637260","FALLERT CR HATCHERY","Chinook","Fall","KALAMA R HATCH  27.0002","LOCR",5.66,81,2018-06-19,2018-06-19,97918,393,98311,"FALLERT CR   27.0017","2018"
"318",2017,"637262","NORTH TOUTLE HATCHERY","Chinook","Fall","TOUTLE R     26.0227","LOCR",5.66,80,2018-06-19,2018-07-06,93951,1722,95673,"GREEN R      26.0323","2018"
